InputID,TargetID,Distance
"314","853",121764.94632904
"314","991",62286.3286820196
"314","1048",52602.9577791662
"314","1050",48545.8213824694
"314","2985",32215.6583362559
"314","3166",111021.359628068
"314","3234",75053.9032643764
"314","3811",99736.0898858522
"314","5779",71240.2151077836
"314","6129",12491.5048006003
"853","314",121764.94632904
"853","991",60422.0828455955
"853","1048",72414.933702653
"853","1050",73228.0087970269
"853","2985",95563.1219550943
"853","3166",24908.7328088074
"853","3234",54470.9153880982
"853","3811",58243.5656682827
"853","5779",62418.4080858525
"853","6129",113295.115658979
"991","314",62286.3286820196
"991","853",60422.0828455955
"991","1048",24263.8512117609
"991","1050",15668.4558337756
"991","2985",35329.662766214
"991","3166",49095.0656839585
"991","3234",31013.8521387241
"991","3811",60742.6230249412
"991","5779",20272.9791471211
"991","6129",53020.7184778434
"1048","314",52602.9577791662
"1048","853",72414.933702653
"1048","991",24263.8512117609
"1048","1050",13434.4742498591
"1048","2985",38256.8527656378
"1048","3166",68117.9525394622
"1048","3234",22506.7948735471
"1048","3811",49867.7428890916
"1048","5779",44098.6906476367
"1048","6129",47711.2828697092
"1050","314",48545.8213824694
"1050","853",73228.0087970269
"1050","991",15668.4558337756
"1050","1048",13434.4742498591
"1050","2985",27104.1430248223
"1050","3166",64315.4606017938
"1050","3234",31387.0187764723
"1050","3811",60928.5490362089
"1050","5779",33028.898924443
"1050","6129",40860.9746406431
"2985","314",32215.6583362559
"2985","853",95563.1219550943
"2985","991",35329.662766214
"2985","1048",38256.8527656378
"2985","1050",27104.1430248223
"2985","3166",81445.6011897365
"2985","3234",58476.8998806936
"2985","3811",87728.4456938977
"2985","5779",39621.2852212286
"2985","6129",20339.1236450044
"3166","314",111021.359628068
"3166","853",24908.7328088074
"3166","991",49095.0656839585
"3166","1048",68117.9525394622
"3166","1050",64315.4606017938
"3166","2985",81445.6011897365
"3166","3234",56895.1699735703
"3166","3811",71855.3462817351
"3166","5779",43655.5470278777
"3166","6129",100909.782072877
"3234","314",75053.9032643764
"3234","853",54470.9153880982
"3234","991",31013.8521387241
"3234","1048",22506.7948735471
"3234","1050",31387.0187764723
"3234","2985",58476.8998806936
"3234","3166",56895.1699735703
"3234","3811",30132.5149908721
"3234","5779",49625.5649204653
"3234","6129",70055.7439251009
"3811","314",99736.0898858522
"3811","853",58243.5656682827
"3811","991",60742.6230249412
"3811","1048",49867.7428890916
"3811","1050",60928.5490362089
"3811","2985",87728.4456938977
"3811","3166",71855.3462817351
"3811","3234",30132.5149908721
"3811","5779",77990.7398532839
"3811","6129",96916.1307432837
"5779","314",71240.2151077836
"5779","853",62418.4080858525
"5779","991",20272.9791471211
"5779","1048",44098.6906476367
"5779","1050",33028.898924443
"5779","2985",39621.2852212286
"5779","3166",43655.5470278777
"5779","3234",49625.5649204653
"5779","3811",77990.7398532839
"5779","6129",59882.0833033548
"6129","314",12491.5048006003
"6129","853",113295.115658979
"6129","991",53020.7184778434
"6129","1048",47711.2828697092
"6129","1050",40860.9746406431
"6129","2985",20339.1236450044
"6129","3166",100909.782072877
"6129","3234",70055.7439251009
"6129","3811",96916.1307432837
"6129","5779",59882.0833033548
