"Attributes,",%SAND,%CLAY,%SILT,%ORGANIC
"Units,","none,","none,","none,",none
gS,0.85,0.05,0.10,0.00
Ls2,0.35,0.20,0.45,0.03
Ls3,0.45,0.20,0.35,0.03
Ls4,0.55,0.20,0.25,0.01
Lt2,0.30,0.30,0.40,0.01
Lt3,0.20,0.40,0.40,0.02
Lts,0.42,0.35,0.23,0.00
Lu,0.14,0.24,0.62,0.03
mS,0.85,0.05,0.10,0.00
mSfs,0.85,0.05,0.10,0.00
mSgs,0.85,0.05,0.10,0.00
Sl2,0.77,0.06,0.17,0.01
Sl3,0.62,0.10,0.28,0.02
Sl4,0.50,0.14,0.36,0.02
Slu,0.42,0.13,0.45,0.03
St2,0.84,0.11,0.05,0.00
St3,0.71,0.21,0.08,0.01
Su2,0.80,0.02,0.18,0.01
Su3,0.64,0.04,0.32,0.02
Su4,0.51,0.04,0.45,0.02
Tu3,0.10,0.37,0.53,0.03
Tu4,0.05,0.30,0.65,0.01
Uls,0.30,0.12,0.58,0.03
Ut3,0.11,0.15,0.74,0.00
Ut4,0.09,0.21,0.7,0.01
