LEG_NR,#horizons,hor1,th1,hor2,th2,hor3,th3
121,3,Sl4,0.02,Sl4,0.59,Sl4,0.59
261,3,Slu,0.23,Slu,0.21,Slu,0.76
265,3,Uls,0.2,Uls,0.52,Sl4,0.48
269,3,Slu,0.26,Slu,0.24,Sl4,0.7
276,3,Sl3,0.23,Sl3,0.32,Sl4,0.65
279,3,Sl2,0.1,Uls,1.5,Su3,0.45
294,3,Lu,0.2,Lt2,0.75,Sl3,0.75
300,3,Sl3,0.1,Sl4,0.35,Sl3,0.75
346,3,Lu,0.27,Ut4,0.32,Slu,0.61
357,3,Sl3,0.08,Sl3,0.22,Sl3,0.9
493,3,Ut4,0.35,Lu,0.35,Ut4,0.8
494,3,Ut3,0.3,Ut3,0.18,Ut4,1.02
495,3,Uls,0.3,Ut4,1.3,Sl2,0.4
496,3,Ut4,0.15,Lt4,0.15,Tu4,1.2
497,3,Uls,0.05,Uls,0.35,Su2,0.6
498,3,Ut3,0.4,Ut4,0.5,Lts,0.3
499,3,Slu,0.4,Su3,0.45,Sl2,0.55
500,3,Ut4,0.35,Uls,0.25,Ls2,0.6
501,3,Slu,0.4,Sl3,0.4,Sl4,0.5
502,3,Uls,0.31,Slu,0.14,Sl3,0.75
503,3,Slu,0.28,Sl4,0.24,Sl4,0.68
504,3,Slu,0.15,Uls,0.45,Ls2,0.9
505,3,Uls,0.69,Sl3,0.43,Sl3,0.43
507,3,Ls2,0.5,Lts,0.4,Sl3,0.6
509,3,Lu,0.1,Ut3,0.2,Ut4,0.9
510,3,Uls,0.4,Ls2,0.15,St2,0.95
511,3,Lu,0.5,Lt2,0.3,Lts,0.5
512,3,Uls,0.4,Uls,0.2,Ls4,0.7
514,3,Sl4,0.4,Ls4,0.3,Sl3,0.6
515,3,Sl3,0.4,Sl2,0.5,Sl4,0.6
516,3,Sl4,0.15,Sl3,0.45,Slu,0.6
518,3,Slu,0.23,Slu,0.12,Slu,0.85
519,3,Slu,0.05,Sl3,0.25,Sl2,0.9
520,3,Sl4,0.6,Sl2,0.45,gS,0.25
522,3,Su2,0.55,mSgs,0.45,mSgs,0.5
524,3,Ls2,0.2,Ls2,0.15,Lt3,0.85
525,3,Sl3,0.6,Slu,0.2,Ls2,0.4
526,3,Sl2,0.1,mSfs,0.6,Sl2,0.55
527,3,Sl2,0.8,St2,0.3,Su2,0.4
531,3,Slu,0.45,Slu,0.1,Sl2,0.65
532,3,Lu,0.15,Tu3,0.55,Sl3,0.5
533,3,mSgs,0.01,mSgs,0.59,mSgs,0.6
534,3,Sl3,0.05,Sl2,0.58,,0.57
536,3,Sl2,0.01,Sl2,1,Sl2,0.99
538,3,Sl3,0.15,Sl3,0.25,Su3,0.8
557,3,Ut3,1,Ut4,0.3,Lu,0.2
750,3,Ls2,1.33,Ls2,0.15,St2,0.25
935,3,Uls,0.05,Uls,0.11,Sl2,1.14
976,3,Ls2,0.2,Ls2,0.15,Lu,1.15
978,3,Ls4,0.55,Lts,0.25,St2,0.7
979,3,mSfs,0.15,mS,0.3,mS,0.85
2002,3,Uls,0.03,Uls,0.58,Uls,0.59
2005,3,Uls,0.29,Uls,0.46,Sl3,0.45
